WayId,Time,Intensity,Path,RoadSize,Cost,ExpectedSpeed
1,2015-09-10T14:24:39.691Z,0.9045,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-11T13:52:36.744Z,0.84325,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-11T13:52:50.556Z,0.63725,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-11T13:53:04.812Z,0.42025,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-11T13:59:22.708Z,0.48725,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-11T15:41:49.875Z,0.50925,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-11T15:48:43.017Z,0.62075,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-11T15:49:17.936Z,0.64575,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-13T03:22:03.484Z,0.429,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-13T03:26:22.566Z,0.739,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-14T04:09:33.439Z,0.6615,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-14T04:09:43.569Z,0.799,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-14T04:09:49.623Z,0.36875,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-14T10:54:31.359Z,0.532,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-15T03:22:37.874Z,0.506,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-15T03:22:52.128Z,0.63025,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-15T06:59:35.036Z,0.463,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.11,0.0029348081,40
1,2015-09-15T08:56:33.427Z,0.8,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.0,0.0,0
1,2015-09-15T08:57:58.337Z,0.8,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.0,0.0,0
1,2015-09-15T09:00:26.791Z,0.5,"{""coordinates"":[[90.4225779,23.7975777],[90.4223751,23.798617]],""type"":""LineString""}",0.0,0.0,0
